pravila|acesta|iaste pravilaacestaiaste immmmmsimmmmsimmms
carele|va|grăi|văzînd|pre carelevagrăivăzîndpre immmmsisimmsimmmmsims
el|fără|tocmală|şi|beţiv|și elfărătocmalăşibeţivși isimmsimmmmmsisimmmsis
învăţînd|pre|alţii|să|nu|se|îmbeate învăţîndprealţiisănuseîmbeate immmmmmsimsimmmsisisisimmmmms
sau|alt|vreun saualtvreun imsimsimmms
lucru|bun|a|petreace lucrubunapetreace immmsimscimmmmmms
carele|singur|nu|au|făcut carelesingurnuaufăcut immmmsimmmmsisisimmms
ochii|de|urechi|grăiaște|scriptura|cu ochiideurechigrăiaștescripturacu immmsisimmmmsimmmmmmsimmmmmmmsis
aceia|socoteaște-te|o|duhovnice|pentru|ce|că aceiasocoteaște-teoduhovnicepentrucecă immmsimmmmmmmmmmmscimmmmmmmsimmmmsisis
de|va|peri devaperi isisimms
numai|o|oaie|pentru numaiooaiepentru immmscimmsimmmms
negrija|ta|dentru|mînile|tale negrijatadentrumîniletale immmmmsisimmmmsimmmmsimms
se|va|căuta|de|prinde|ce sevacăutadeprindece isisimmmsisimmmmsis
zice|sfînt|ioan|zlatoust|la|deanie|în zicesfîntioanzlatoustladeanieîn immsimmmsimmsimmmmmmsisimmmmsis
a|treia|nravo atreianravo cimmmsimmms
ucenie|aceasta|grăiaște|de ucenieaceastagrăiaștede immmmsimmmmmsimmmmmmsis
se|va|delunga|numai|unul sevadelunganumaiunul isisimmmmmsimmmsimms
oborît|toată|spăseniia|sa|episcopul|sau|popa oborîttoatăspăseniiasaepiscopulsaupopa immmmsimmmsimmmmmmmsisimmmmmmmsimsimms
că|sufletul|iaste căsufletuliaste isimmmmmmsimmms
de|o|perire|atîta deoperireatîta iscimmmmsimmms
deșertăciune|are|cît|nice|cuvînt deșertăciunearecîtnicecuvînt immmmmmmmmmsimsimsimmsimmmms
nu|poate|pune|înainte|ce|cu nupoatepuneînaintececu isimmmsimmsimmmmmsisis
dumnezeu|iaste|a|face dumnezeuiasteaface immmmmmsimmmscimms
că|grăiaște|scriptura|procleat|cela căgrăiaștescripturaprocleatcela isimmmmmmsimmmmmmmsimmmmmmsimms
iară|marele|vasilie|grăiaște|socoteaște|să|nu iarămarelevasiliegrăiaștesocoteaștesănu immsimmmmsimmmmmsimmmmmmsimmmmmmmmsisis
te|temi|de tetemide isimmsis
om|întru|cădearea|lui omîntrucădearealui isimmmsimmmmmmsims
ca|să|nu|dai|pre casănudaipre isisisimsims
fiiul|lui|dumnezeu|întru|mîinile|celor fiiulluidumnezeuîntrumîinilecelor immmsimsimmmmmmsimmmsimmmmmsimmms
nedostoinici|ca|să|nu|te|ruşinezi|de nedostoinicicasănuteruşinezide immmmmmmmmmsisisisisimmmmmmsis
cineva|de|marii cinevademarii immmmsisimmms
cela|ce|poartă|stemă|să celacepoartăstemăsă immsisimmmmsimmmsis
lasă|pre|cei|nedostoinici|să|se|cuminece lasăpreceinedostoinicisăsecuminece immsimsimsimmmmmmmmmmsisisimmmmmms
carii|se|socotesc cariisesocotesc immmsisimmmmmms
ca|păgînii|iară|să capăgîniiiarăsă isimmmmmsimmsis
nu|se|vor|întoarce|amar nusevorîntoarceamar isisimsimmmmmmsimms
acelora|şi|celora|ce|cumineca|pre aceloraşiceloracecuminecapre immmmmsisimmmmsisimmmmmmsims
ei|socotește|zice|eu|treabă|n-am|tu eisocoteșteziceeutreabăn-amtu isimmmmmmmsimmsisimmmmsimmsis
veri|vedea|aceastea verivedeaaceastea immsimmmsimmmmmms
cu|socotinţă|și|cu|tocmală cusocotinţășicutocmală isimmmmmmmsisisimmmmms
ce|mai|nainte|învăţăturile|bisearecii|neclătite cemainainteînvăţăturilebiseareciineclătite isimsimmmmsimmmmmmmmmmsimmmmmmmmsimmmmmmms
să|le|păzești|mîntui-veri|și|pre|tine sălepăzeștimîntui-verișipretine isisimmmmmsimmmmmmmmmsisimsimms
şi|pre|ceia şipreceia isimsimms
ce|te|vor|asculta cetevorasculta isisimsimmmmms
știut|să|fie|cine|va știutsăfiecineva immmsisimsimmsis
îndrăzni|a|priimi|cugetele|și|ispovedaniile îndrăzniapriimicugeteleșiispovedaniile immmmmmscimmmmsimmmmmmsisimmmmmmmmmmms
fără|învăţătura|episcopului|acelui|loc|acela|pedeapsa fărăînvăţăturaepiscopuluiaceluilocacelapedeapsa immsimmmmmmmmsimmmmmmmmmsimmmmsimsimmmsimmmmmms
pravilelor|va|priimi pravilelorvapriimi immmmmmmmsisimmmms
dumnezeeștilor|pravile|că|nu|numai dumnezeeștilorpravilecănunumai immmmmmmmmmmmsimmmmmsisisimmms
pre|sine|se-au|pierdut|ce|și presinese-aupierdutceși imsimmsimmmsimmmmmsisis
cîți|se-au|ispovedit|la|el|neispovediți|sînt cîțise-auispoveditlaelneispovedițisînt immsimmmsimmmmmmmsisisimmmmmmmmmmsimms
legat|și|dezlegat|neîndereptați legatșidezlegatneîndereptați immmsisimmmmmmsimmmmmmmmmmms
a|săborului|de|carthaghin|și|după asăboruluidecarthaghinșidupă cimmmmmmmsisimmmmmmmmsisimms
43|aceluiaș|săbor|pravila|svetii|apostol|și 43aceluiașsăborpravilasvetiiapostolși isimmmmmmsimmmsimmmmmsimmmmsimmmmmsis
a|sfinților|de asfințilorde cimmmmmmmsis
al|șaptele|săbor|preaogodnicii alșaptelesăborpreaogodnicii isimmmmmsimmmsimmmmmmmmmmms
și|de|dumnezeu|purtătorii|părinţii șidedumnezeupurtătoriipărinţii isisimmmmmmsimmmmmmmmsimmmmmms
noştri|de|episcopi|şi|de|preoți noştrideepiscopişidepreoți immmmsisimmmmmmsisisimmmms
pavel|apostolii|lui|hristos|învăţăm pavelapostoliiluihristosînvăţăm immmsimmmmmmmsimsimmmmmsimmmmms
pre|robii|lui|hristos|de|lucrul prerobiiluihristosdelucrul imsimmmsimsimmmmmsisimmmms
omenesc|ce|iaste|a|lucra|în|şase omenescceiastealucraînşase immmmmsisimmmscimmmsisimms
zile|luni|şi zilelunişi immsimmsis
joi|şi|vineri|şi|sîmbătă joişivinerişisîmbătă imsisimmmmsisimmmmms
pînă|amiază|zi|sau|pînă|în pînăamiazăzisaupînăîn immsimmmmsisimsimmsis
al|treile|ceas|de|zi|sau|sîmbătă altreileceasdezisausîmbătă isimmmmsimmsisisimsimmmmms
se|îndeletnicească|de|toate seîndeletniceascădetoate isimmmmmmmmmmmmmsisimmms
lucrurile|ceale|greale|şi|să-ș lucrurilecealegrealeşisă-ș immmmmmmsimmmsimmmmsisimms
tocmescă|casă|şi|se|facă|pamete tocmescăcasăşisefacăpamete immmmmmsimmsisisimmsimmmms
morţilor|lor|şi|se|priimească|strainicii|şi morţilorlorşisepriimeascăstrainiciişi immmmmmsimsisisimmmmmmmmsimmmmmmmmsis
să-i|ospeteaze|ca să-iospeteazeca immsimmmmmmmsis
să|se|umple|liubovul săseumpleliubovul isisimmmsimmmmmms
dumnezeesc|că|sîmbăta|are|dar dumnezeesccăsîmbătaaredar immmmmmmmsisimmmmmsimsims
cheamă|iară|dumineca|iaste|întîiu|zi|a cheamăiarăduminecaiasteîntîiuzia immmmsimmsimmmmmmsimmmsimmmmsisc
lu|dumnezeu|dar ludumnezeudar isimmmmmmsims
de|înviiare|dirept|aceaia deînviiaredireptaceaia isimmmmmmsimmmmsimmmms
învățăm|vațăm|de|această|zi învățămvațămdeaceastăzi immmmmsimmmsisimmmmmsis
să|se|ferească|şi|să|se săsefereascăşisăse isisimmmmmmsisisis
ceas|să|se ceassăse immsisis
oprească|de|toate|lucrurile opreascădetoatelucrurile immmmmmsisimmmsimmmmmmms
de|marile|și|de|micile demarileșidemicile isimmmmsisisimmmms
și|la|bisearecă|să|scape|toţi șilabisearecăsăscapetoţi isisimmmmmmmsisimmmsimms
oamenii|cu|muierile-ş|şi|cu|feciorii|lor oameniicumuierile-şşicufecioriilor immmmmsisimmmmmmmmsisisimmmmmmsims
și|într-însă|cu șiîntr-însăcu isimmmmmmmsis
frica|lu|dumnezeu|şi fricaludumnezeuşi immmsisimmmmmmsis
cu|luare-de-aminte|să|se|priveaghe culuare-de-amintesăsepriveaghe isimmmmmmmmmmmmmsisisimmmmmmms
iară|deaca|se|va|lăsa|sfînta|letorghie iarădeacasevalăsasfîntaletorghie immsimmmsisisimmsimmmmsimmmmmmms
de-ciia|să|margă de-ciiasămargă immmmmsisimmms
acasă|și|să|se acasășisăse immmsisisis
odihnească|pînă|luni|dimineaţa|și odihneascăpînălunidimineaţași immmmmmmmsimmsimmsimmmmmmmsis
iară|den|al|doile|ceas|de iarădenaldoileceasde immsimsisimmmsimmsis
zi|se|înceapă|a|lucra|ot|rojdstvea ziseînceapăalucraotrojdstvea isisimmmmmscimmmsisimmmmmmms
hvea|de|prazdnicul hveadeprazdnicul immsisimmmmmmmms
născutului|aşijderea|să|se născutuluiaşijdereasăse immmmmmmmsimmmmmmmsisis
ţie|şi|să|se|cinstească ţieşisăsecinstească imsisisisimmmmmmmms
ca|şi|dumineca|că|de|aceasta caşiduminecacădeaceasta isisimmmmmmsisisimmmmms
dărui|domnul|nostru|isus|hristos|spăsenie|lumiei dăruidomnulnostruisushristosspăsenielumiei immmsimmmmsimmmmsimmsimmmmmsimmmmmmsimmmms
blagoiavlenie|de|prazdnicul blagoiavleniedeprazdnicul immmmmmmmmmmsisimmmmmmmms
sfintei|arătării|lu|dumnezeu sfinteiarătăriiludumnezeu immmmmsimmmmmmsisimmmmmms
cade-se|tot|omul|să-|socotească cade-setotomulsă-socotească immmmmsimsimmsimsimmmmmmmms
și|așijdirea|să-l|cinstească|că|întru șiașijdireasă-lcinsteascăcăîntru isimmmmmmmsimmsimmmmmmmmsisimmms
aceasta|ziditoriul|a|toată|lumea|dărui|înnoire aceastaziditoriulatoatălumeadăruiînnoire immmmmsimmmmmmmmscimmmsimmmsimmmsimmmmms
cu|apă|și cuapăși isimsis
cu|duhul|sfînt|ot cuduhulsfîntot isimmmsimmmsis
blagoveaștenie|de|prăzdnuirea|blagoveașteniilor|cinste blagoveașteniedeprăzdnuireablagoveașteniilorcinste immmmmmmmmmmmsisimmmmmmmmmsimmmmmmmmmmmmmmmsimmmms
cinstit|de|toate|prazdnicele|de|sîmbăta|direptului cinstitdetoateprazdniceledesîmbătadireptului immmmmsisimmmsimmmmmmmmmsisimmmmmsimmmmmmmms
lazar|înceaperea|învierii lazarînceapereaînvierii immmsimmmmmmmmsimmmmmms
prazdnicele|cinstite|şi|aşa|de|paști prazdnicelecinstiteşiaşadepaști immmmmmmmmsimmmmmmsisimsisimmms
această|duminecă|luminată|nată|să|se|prăzdnuiască aceastăduminecăluminatănatăsăseprăzdnuiască immmmmsimmmmmmsimmmmmmsimmsisisimmmmmmmmmms
şi|să|se şisăse isisis
cinstească|cum|înseşi|sfintele cinsteascăcumînseşisfintele immmmmmmmsimsimmmmsimmmmmms
paști|și|iară|de|văznesenie paștișiiarădevăznesenie immmsisimmsisimmmmmmmms
lu|hristos|și|de|rusalii|ce luhristosșiderusaliice isimmmmmsisisimmmmmsis
iaste|venirea|a|sfîntului|duh|cînd|pogorî iastevenireaasfîntuluiduhcîndpogorî immmsimmmmmscimmmmmmmsimsimmsimmmms
pre|lume|de prelumede imsimmsis
tuturor|şi|aşa|toate|sfintele tuturorşiaşatoatesfintele immmmmsisimsimmmsimmmmmms
prazdnicele|lu|hristos|să|se|cinstească prazdniceleluhristossăsecinstească immmmmmmmmsisimmmmmsisisimmmmmmmms
şi|să|se|ferească|cum|am|zis şisăsefereascăcumamzis isisisimmmmmmsimsisims
şi|la|preobrajenie şilapreobrajenie isisimmmmmmmmmms
şi|la|văzdvijenia|cinstitei şilavăzdvijeniacinstitei isisimmmmmmmmmsimmmmmmms
cruci|prazdnice|ale|despuitoriului|aceaste cruciprazdnicealedespuitoriuluiaceaste immmsimmmmmmmsimsimmmmmmmmmmmmsimmmmms
prazdnice|ale|lui|hristos|toate|aşa prazdnicealeluihristostoateaşa immmmmmmsimsimsimmmmmsimmmsims
să|se|ferească|şi|să|se|cinstească săsefereascăşisăsecinstească isisimmmmmmsisisisimmmmmmmms
cum|am|zis cumamzis imsisims
zi|de|dumnezeire|prazdnicul|uspenie zidedumnezeireprazdniculuspenie isisimmmmmmmmsimmmmmmmmsimmmmms
bți|cade-se|a-l|cinsti|şi|a-l bțicade-sea-lcinstişia-l imsimmmmmsimsimmmmsisims
mări|aşijderea|ca|şi|prazdnicile|lu|hristos măriaşijdereacaşiprazdnicileluhristos immsimmmmmmmsisisimmmmmmmmmsisimmmmms
cum|ș-am|dat cumș-amdat imsimmsims
învăţătură|ţătură|aşa|şi învăţăturăţăturăaşaşi immmmmmmmsimmmmsimsis
aceaste|prazdnice|ale|blagorodiţei|întîiu aceasteprazdnicealeblagorodiţeiîntîiu immmmmsimmmmmmmsimsimmmmmmmmmmsimmmms
blagoveaşteniile|şi|rojdestvo|een|şi|văvedeniia blagoveaşteniileşirojdestvoeenşivăvedeniia immmmmmmmmmmmmmsisimmmmmmmsimsisimmmmmmmms
şi|uspenie|şi|sfinţii|părinţilor|ei|să şiuspenieşisfinţiipărinţiloreisă isimmmmmsisimmmmmsimmmmmmmmsisis
le|facem|prăznuire lefacemprăznuire isimmmsimmmmmmms
2|de|prazdnicul|sfinților 2deprazdniculsfinților cisimmmmmmmmsimmmmmmms
apostoli|petru|şi|pavel|aceaste apostolipetruşipavelaceaste immmmmmsimmmsisimmmsimmmmms
prazdnice|aşijderea|să|prăzdnuiască|şi|să prazdniceaşijdereasăprăzdnuiascăşisă immmmmmmsimmmmmmmsisimmmmmmmmmmsisis
se|cinstească|cum|am|zis|de|cealealalte secinsteascăcumamzisdecealealalte isimmmmmmmmsimsisimsisimmmmmmmmms
şi|iară|de şiiarăde isimmsis
de|alte|prazdnice|ale|apostolilor dealteprazdnicealeapostolilor isimmsimmmmmmmsimsimmmmmmmmms
se|prăzdnuiască|însă|şi|acea|zi|de seprăzdnuiascăînsăşiaceazide isimmmmmmmmmmsimmsisimmsisis
dimineaţă|pînă|sara dimineaţăpînăsara immmmmmmsimmsimms
predtece|şi|botezătoriul|ioann|de predteceşibotezătoriulioannde immmmmmsisimmmmmmmmmmsimmmsis
născutul|lui|și|de|tăiarea|capului născutulluișidetăiareacapului immmmmmsimsisisimmmmmsimmmmms
al|noaolea|ceas alnoaoleaceas isimmmmmsimms
și|demîneaţa|toată|zioa șidemîneaţatoatăzioa isimmmmmmmsimmmsimms
întîiul|mucenic|stefan|mai|marele întîiulmucenicstefanmaimarele immmmmsimmmmmsimmmmsimsimmmms
diacon|pomenirea|să|i-o|prăzdnuim|de diaconpomenireasăi-oprăzdnuimde immmmsimmmmmmmsisimsimmmmmmmsis
dimîneaţa|pînă|sara|aşa|să|umplem|şi dimîneaţapînăsaraaşasăumplemşi immmmmmmsimmsimmsimsisimmmmsis
pomenirea|şi|cinstirea pomenireaşicinstirea immmmmmmsisimmmmmmms
şi|prăzdnuirea|sfinţilor|şi şiprăzdnuireasfinţilorşi isimmmmmmmmmsimmmmmmmsis
ogodnicilor|şi|învăţătorilor|a|toată ogodnicilorşiînvăţătoriloratoată immmmmmmmmsisimmmmmmmmmmmscimmms
lumea|părinţilor|şi|arhiereii|şi|păstorii lumeapărinţilorşiarhiereiişipăstorii immmsimmmmmmmmsisimmmmmmmsisimmmmmms
căruia|cîndu-i|va căruiacîndu-iva immmmsimmmmmsis
fi|zioa|de|dimîneaţă fizioadedimîneaţă isimmsisimmmmmmms
pînă|sara|și|nu|numai pînăsarașinunumai immsimmsisisimmms
mireanilor|ce|şi|călugărilor|den|pustie mireanilorceşicălugărilordenpustie immmmmmmmsisisimmmmmmmmmsimsimmmms
a|prăzdnui|şi|a|cinsti|3|sfîntul aprăzdnuişiacinsti3sfîntul cimmmmmmsiscimmmmscimmmmms
şi|marele|mucenic şimarelemucenic isimmmmsimmmmms
a|lui|hristos|gheorghie aluihristosgheorghie cimsimmmmmsimmmmmmms
şi|dimitrie|theodor|pandeleimonu|procopie şidimitrietheodorpandeleimonuprocopie isimmmmmmsimmmmmsimmmmmmmmmmsimmmmmms
şi|sfiinţii|besrebrăniţi|şi|sfintele|marele şisfiinţiibesrebrăniţişisfintelemarele isimmmmmmsimmmmmmmmmmsisimmmmmmsimmmms
rele|măceniţe|muieri|şi|cîte|muceniţe|mari relemăceniţemuierişicîtemuceniţemari immsimmmmmmsimmmmsisimmsimmmmmmsimms
se|vor|chema sevorchema isimsimmms
aceastea|toate|să|se aceasteatoatesăse immmmmmsimmmsisis
prăzdnuiască|căriia|cîndu-i|va|fi prăzdnuiascăcăriiacîndu-ivafi immmmmmmmmmsimmmmsimmmmmsisis
toate|zilele|acestor|praznice|să|se|prăzdnuiască toatezileleacestorpraznicesăseprăzdnuiască immmsimmmmsimmmmmsimmmmmmsisisimmmmmmmmmms
cum|am|învăţat cumamînvăţat imsisimmmmms
pus|leage|şi|iară|grăim pusleageşiiarăgrăim imsimmmsisimmsimmms
cu|tîmpene|şi|cu|fluiere|şi|întru cutîmpeneşicufluiereşiîntru isimmmmmsisisimmmmmsisimmms
cîntece|mirenești|şi cîntecemireneștişi immmmmsimmmmmmmsis
în|beţii|ce|să înbeţiicesă isimmmsisis
se|prăzdnuiască|întru|rugăciuni|şi seprăzdnuiascăîntrurugăciunişi isimmmmmmmmmmsimmmsimmmmmmmsis
întru|cîntări|sufletești|și|întru|cuvinte întrucîntărisufleteștișiîntrucuvinte immmsimmmmmsimmmmmmmmsisimmmsimmmmms
de|laudă|și|numai|cît|să|se delaudășinumaicîtsăse isimmmsisimmmsimsisis
cheame|preoții|la cheamepreoțiila immmmsimmmmmsis
casele|lor|să|facă caselelorsăfacă immmmsimsisimms
blagoslovenie|întru|casele|lor|tot blagoslovenieîntrucaselelortot immmmmmmmmmmsimmmsimmmmsimsims
creștinul|că|oareunde|nu|mearge|preotul creștinulcăoareundenumeargepreotul immmmmmmsisimmmmmmsisimmmmsimmmmms
delungă|și|unde|preotul delungășiundepreotul immmmmsisimmsimmmmms
nu|cadeaște|nice|rugăciune|face nucadeaștenicerugăciuneface isimmmmmmsimmsimmmmmmmsimms
acolo|e|mîhniciune|şi|slăbiciune|şi acoloemîhniciuneşislăbiciuneşi immmscimmmmmmmmsisimmmmmmmmsis
sînt|toate|spurcate|aceastea|vă|învăţăm|preoţilor sînttoatespurcateaceasteavăînvăţămpreoţilor immsimmmsimmmmmmsimmmmmmsisimmmmmsimmmmmmms
şi|țîrcovnicii|bisearicilor şițîrcovniciibisearicilor isimmmmmmmmmsimmmmmmmmmms
ca|înşivă|să|umblaţi caînşivăsăumblaţi isimmmmsisimmmmms
întru|învăţăturile|ce|vă|sînt întruînvăţăturilecevăsînt immmsimmmmmmmmmmsisisimms
învăţaţi|toţi|oamenii|cu|de-adins|de|pururea învăţaţitoţioameniicude-adinsdepururea immmmmmsimmsimmmmmsisimmmmmmsisimmmmms
nu|pentru|vreo	plată nupentruvreo	plată isimmmmsimmmmmmmms
oarecarea|de|argint|sau oarecareadeargintsau immmmmmmsisimmmmsims
de|aur|ce|pentru|spăseniia deaurcepentruspăseniia isimsisimmmmsimmmmmmms
sufletelor|voastre|iară|voi|oameni|mari sufletelorvoastreiarăvoioamenimari immmmmmmmsimmmmmsimmsimsimmmmsimms
şi|mici|așa|vă|învăţăm|ascultaţi|să şimiciașavăînvăţămascultaţisă isimmsimsisimmmmmsimmmmmmmsis
vă|cuceriţi|arhiereilor văcuceriţiarhiereilor isimmmmmmsimmmmmmmmms
şi|preoţilor|și|să-i şipreoţilorșisă-i isimmmmmmmsisimms
cinstiţi|şi|să|vă|teameţi cinstiţişisăvăteameţi immmmmmsisisisimmmmms
fieşcare|den|voi|cine|cumu-i|va fieşcaredenvoicinecumu-iva immmmmmsimsimsimmsimmmmsis
fi|putearea|şi|de|ce|veţi|avea fiputeareaşideceveţiavea isimmmmmmsisisisimmsimms
că|aceia|priveaghe|pentru căaceiapriveaghepentru isimmmsimmmmmmmsimmmms
voi|şi|se|roagă|preoţilor voişiseroagăpreoţilor imsisisimmmsimmmmmmms
învăţămu-vă|să|nu|întraţi|în|bisearică învăţămu-văsănuîntraţiînbisearică immmmmmmmmsisisimmmmmsisimmmmmmms
cu|vrajbă|sau|cu|pizma|nice|să cuvrajbăsaucupizmanicesă isimmmmsimsisimmmsimmsis
vă|cutezaţi|a văcutezaţia isimmmmmmsc
vă|atingerea|de|acelea văatingereadeacelea isimmmmmmmsisimmmms
nice|să|fiţi|beţivi|nice nicesăfiţibeţivinice immsisimmsimmmmsimms
furi|nice|hulitori|unul|spre|altul furinicehulitoriunulsprealtul immsimmsimmmmmmsimmsimmsimmms
nebuni|că|şi nebunicăşi immmmsisis
domnul|nostru|isus|hristos domnulnostruisushristos immmmsimmmmsimmsimmmmms
fu|bătut|şi|ocărît|și fubătutşiocărîtși isimmmsisimmmmsis
răbdă|dirept|noi|ce|să|fiți răbdădireptnoicesăfiți immmsimmmmsimsisisimms
să|umblaţi|cu|frica săumblaţicufrica isimmmmmsisimmms
nevoiţi|de|slujba|voastră|cea|sfîntă nevoiţideslujbavoastrăceasfîntă immmmmsisimmmmsimmmmmsimsimmmms
unii|muieri|ca|nu uniimuiericanu immsimmmmsisis
