pravilaacestaiaste immmmmsimmmmsimmms
prazdnicealeluihristostoateaşa immmmmmmsimsimsimmmmmsimmmsims
săsefereascăşisăsecinstească isisimmmmmmsisisisimmmmmmmms
cumamzis imsisims
desfîntaduminecăîntîia isimmmmsimmmmmmsimmmms
zidedumnezeireprazdniculuspenie isisimmmmmmmmsimmmmmmmmsimmmmms
bțicade-sea-lcinstişia-l imsimmmmmsimsimmmmsisims
măriaşijdereacaşiprazdnicileluhristos immsimmmmmmmsisisimmmmmmmmmsisimmmmms
cumș-amdat imsimmsims
învăţăturăţăturăaşaşi immmmmmmmsimmmmsimsis
aceasteprazdnicealeblagorodiţeiîntîiu immmmmsimmmmmmmsimsimmmmmmmmmmsimmmms
blagoveaşteniileşirojdestvoeenşivăvedeniia immmmmmmmmmmmmmsisimmmmmmmsimsisimmmmmmmms
şiuspenieşisfinţiipărinţiloreisă isimmmmmsisimmmmmsimmmmmmmmsisis
lefacemprăznuire isimmmsimmmmmmms
2deprazdniculsfinților cisimmmmmmmmsimmmmmmms
apostolipetruşipavelaceaste immmmmmsimmmsisimmmsimmmmms
prazdniceaşijdereasăprăzdnuiascăşisă immmmmmmsimmmmmmmsisimmmmmmmmmmsisis
secinsteascăcumamzisdecealealalte isimmmmmmmmsimsisimsisimmmmmmmmms
şiiarăde isimmsis
cei12apostolişi imsisimmmmmmsis
dealteprazdnicealeapostolilor isimmsimmmmmmmsimsimmmmmmmmms
carelecîndvaficade-sesă immmmsimmsisisimmmmmsis
seprăzdnuiascăînsăşiaceazide isimmmmmmmmmmsimmsisimmsisis
dimineaţăpînăsara immmmmmmsimmsimms
şidecinstitulprorocul isisimmmmmmmsimmmmmms
predteceşibotezătoriulioannde immmmmmsisimmmmmmmmmmsimmmsis
născutulluișidetăiareacapului immmmmmsimsisisimmmmmsimmmmms
luicade-sealeprăzdnuidela imsimmmmmscisimmmmmmsisis
alnoaoleaceas isimmmmmsimms
șidemîneaţatoatăzioa isimmmmmmmsimmmsimms
întîiulmucenicstefanmaimarele immmmmsimmmmmsimmmmsimsimmmms
diaconpomenireasăi-oprăzdnuimde immmmsimmmmmmmsisimsimmmmmmmsis
dimîneaţapînăsaraaşasăumplemşi immmmmmmsimmsimmsimsisimmmmsis
pomenireaşicinstirea immmmmmmsisimmmmmmms
şiprăzdnuireasfinţilorşi isimmmmmmmmmsimmmmmmmsis
ogodnicilorşiînvăţătoriloratoată immmmmmmmmsisimmmmmmmmmmmscimmms
lumeapărinţilorşiarhiereiişipăstorii immmsimmmmmmmmsisimmmmmmmsisimmmmmms
deoilecealegrăitoaresă-iprăzdnuimpre isimmsimmmsimmmmmmmsimmsimmmmmmmsims
căruiacîndu-iva immmmsimmmmmsis
fizioadedimîneaţă isimmsisimmmmmmms
pînăsarașinunumai immsimmsisisimmms
mireanilorceşicălugărilordenpustie immmmmmmmsisisimmmmmmmmmsimsimmmms
aprăzdnuişiacinsti3sfîntul cimmmmmmsiscimmmmscimmmmms
şimarelemucenic isimmmmsimmmmms
aluihristosgheorghie cimsimmmmmsimmmmmmms
şidimitrietheodorpandeleimonuprocopie isimmmmmmsimmmmmsimmmmmmmmmmsimmmmmms
şisfiinţiibesrebrăniţişisfintelemarele isimmmmmmsimmmmmmmmmmsisimmmmmmsimmmms
relemăceniţemuierişicîtemuceniţemari immsimmmmmmsimmmmsisimmsimmmmmmsimms
sevorchema isimsimmms
aceasteatoatesăse immmmmmsimmmsisis
prăzdnuiascăcăriiacîndu-ivafi immmmmmmmmmsimmmmsimmmmmsisis
zioadedimîneaţapînăsaradeci immsisimmmmmmmsimmsimmsimms
toatezileleacestorpraznicesăseprăzdnuiască immmsimmmmsimmmmmsimmmmmmsisisimmmmmmmmmms
cumamînvăţat imsisimmmmms
totcreştinulşiam imsimmmmmmmsisis
pusleageşiiarăgrăim imsimmmsisimmsimmms
cănuzicemsăseprăzdnuiască isisimmmsisisimmmmmmmmmms
cutîmpeneşicufluiereşiîntru isimmmmmsisisimmmmmsisimmms
cîntecemireneștişi immmmmsimmmmmmmsis
înbeţiicesă isimmmsisis
seprăzdnuiascăîntrurugăciunişi isimmmmmmmmmmsimmmsimmmmmmmsis
întrucîntărisufleteștișiîntrucuvinte immmsimmmmmsimmmmmmmmsisimmmsimmmmms
delaudășinumaicîtsăse isimmmsisimmmsimsisis
cheamepreoțiila immmmsimmmmmsis
caselelorsăfacă immmmsimsisimms
blagoslovenieîntrucaselelortot immmmmmmmmmmsimmmsimmmmsimsims
creștinulcăoareundenumeargepreotul immmmmmmsisimmmmmmsisimmmmsimmmmms
niceblagoslovenienusefacedeacolea immsimmmmmmmmmmmsisisimmsisimmmms
şidumnezeuse isimmmmmmsis
delungășiundepreotul immmmmsisimmsimmmmms
nucadeaștenicerugăciuneface isimmmmmmsimmsimmmmmmmsimms
acoloemîhniciuneşislăbiciuneşi immmscimmmmmmmmsisimmmmmmmmsis
sînttoatespurcateaceasteavăînvăţămpreoţilor immsimmmsimmmmmmsimmmmmmsisimmmmmsimmmmmmms
şițîrcovniciibisearicilor isimmmmmmmmmsimmmmmmmmmms
caînşivăsăumblaţi isimmmmsisimmmmms
întruînvăţăturilecevăsînt immmsimmmmmmmmmmsisisimms
datevoaoşidupăaceaiasă immsimmsisimmsimmmmsis
învăţaţitoţioameniicude-adinsdepururea immmmmmsimmsimmmmmsisimmmmmmsisimmmmms
nupentruvreo	plată isimmmmsimmmmmmmms
oarecareadeargintsau immmmmmmsisimmmmsims
deaurcepentruspăseniia isimsisimmmmsimmmmmmms
sufletelorvoastreiarăvoioamenimari immmmmmmmsimmmmmsimmsimsimmmmsimms
şimiciașavăînvăţămascultaţisă isimmsimsisimmmmmsimmmmmmmsis
văcuceriţiarhiereilor isimmmmmmsimmmmmmmmms
şipreoţilorșisă-i isimmmmmmmsisimms
cinstiţişisăvăteameţi immmmmmsisisisimmmmms
fieşcaredenvoicinecumu-iva immmmmmsimsimsimmsimmmmsis
fiputeareaşideceveţiavea isimmmmmmsisisisimmsimms
să-ișiospătaţi immsisimmmmmms
căaceiapriveaghepentru isimmmsimmmmmmmsimmmms
voişiseroagăpreoţilor imsisisimmmsimmmmmmms
învăţămu-văsănuîntraţiînbisearică immmmmmmmmsisisimmmmmsisimmmmmmms
cuvrajbăsaucupizmanicesă isimmmmsimsisimmmsimmsis
văcutezaţia isimmmmmmsc
văatingereadeacelea isimmmmmmmsisimmmms
nicesăfiţibeţivinice immsisimmsimmmmsimms
furinicehulitoriunulsprealtul immsimmsimmmmmmsimmsimmsimmms
nicegîlcevitorinicecucuvintedeșartenice immsimmmmmmmmmsimmsisimmmmmsimmmmmsimms
nebunicăşi immmmsisis
domnulnostruisushristos immmmsimmmmsimmsimmmmms
fubătutşiocărîtși isimmmsisimmmmsis
răbdădireptnoicesăfiți immmsimmmmsimsisisimms
blînzişilinişiplecațişirăbdători immmmsisimmsisimmmmmsisimmmmmmms
detoateşi isimmmsis
săumblaţicufrica isimmmmmsisimmms
ludumnezeușisăvă isimmmmmmsisisis
nevoiţideslujbavoastrăceasfîntă immmmmsisimmmmsimmmmmsimsimmmms
căvăînvăţămdupătocmealasfinţilorapostoli isisimmmmmsimmsimmmmmmsimmmmmmmsimmmmmms
șinumaibărbat isimmmsimmmms
uniimuiericanu immsimmmmsisis
fanufărădeleage isisimmsisimmms
săîntraţilasfîntuljărtăvnicşi isimmmmmsisimmmmmsimmmmmmmsis
sănufiicurvariusaupreacurvariusau isisimsimmmmmmsimsimmmmmmmmmmsims
se-ţidaitrupul immmsimsimmmms
preruşinesaula imsimmmmsimsis
trupdedobitocuniica immsisimmmmmsimmsis
aceştiasănusecuteazecîndva immmmmsisisisimmmmmsimmmms
aseapropiiasauacugetaspre cisimmmmmmsimscimmmmsimms
preoţieniceiară immmmmsimmsimms
ucigaşnicerăpitorinice immmmsimmsimmmmmmsimms
tîlharicesăfiecuraţi immmmmsisisimsimmmms
întrutotşinumaibărbatunii immmsimsisimmmsimmmmsimms
muiericumamzisşislobodde immmmsimsisimsisimmmmsis
toatepăcateleşi immmsimmmmmmsis
curatşinespurcatşi immmsisimmmmmmmsis
aşasăviespreaceastă imsisimsimmsimmmmms
înfricoşatăşimareslujireiarăde immmmmmmmmsisimmsimmmmmsimmsis
cesevaaducepentrublagosloveniala isisisimmmsimmmmsimmmmmmmmmmmsis
bisearecănuînvăţăm immmmmmmsisimmmmms
săfieaceasteanumai isimsimmmmmmsimmms
alepreotuluiceşislujitorilor imsimmmmmmmsisisimmmmmmmmmms
bisearecilorşituturoraceloracese immmmmmmmmmsisimmmmmmsimmmmsisis
ostenescspreacestlucrusfîntdumnezeiesciară immmmmmsimmsimmmsimmmsimmmsimmmmmmmmmsimms
secadeîn isimmsis
treipărțisăse immsimmmsisis
împarțădoaopreotuluiiarăa immmmmsimmsimmmmmmmsimmsc
treiaparteostenitorilorșislujitorilorde immmsimmmsimmmmmmmmmmmsisimmmmmmmmmmsis
boiarișideceiacesîntsupt immmmsisisimmsisimmsimms
putearealorși immmmmmsimsis
deslujitoriiluiînvățămu-i isimmmmmmmmsimsimmmmmmmms
dupăînvățăturaluidumnezeu4 immsimmmmmmmmsimsimmmmmmsc
deceiacebiruiaștepreotulca isimmsisimmmmmmmsimmmmmsis
sănubiruiascăpredinsulnimineaden isisimmmmmmmsimsimmmmsimmmmmsims
oameniiceiproști immmmmsimsimmmms
numaibisearicaceamare immmsimmmmmmmsimsimms
șiaceaiasebiruiascădupă isimmmmsisimmmmmmmsimms
leageiarădenoameniiceiproști immmsimmsimsimmmmmsimsimmmms
niceboiariinicemișeiisănubiruiască immsimmmmmsimmsimmmmsisisimmmmmmms
prenimineacu imsimmmmmsis
preotulcacealeneluminate immmmmsisimmmsimmmmmmmms
spreluminăsăserădice immsimmmmsisisimmmms
nicesăiacevadenbisearecă immsisisimmsimsimmmmmmms
măcars-aufăcutșibisearecanumaice immmsimmsimmmsisimmmmmmmsimmmsis
vafipominoc isisimmmmms
șicublagosloveniabisearecii isisimmmmmmmmmmmsimmmmmmmms
șiaceastaculeageși isimmmmmsisimmmsis
cufricăsăiașicu isimmmsisisisis
blagosloveniapreoțiloriarădesevaispiti immmmmmmmmmmsimmmmmmmsimmsisisisimmmms
săiaceva isisimms
fărăblagosloveniiapreoțilorden immsimmmmmmmmmmmmsimmmmmmmsims
bisearecăsaufărăleageuniica immmmmmmsimsimmmmmmmsimmsis
aceiaanemicanuseînchipuiesc immmscimmmmsisisimmmmmmmmms
numaifuridebisearecășiagonisirespurcată immmsimmsisimmmmmmmsisimmmmmmmsimmmmmms
șinecredincioșideci isimmmmmmmmmmmsimms
aceștiasîntfuriși immmmmsimmsimmsis
răpitorișitălharidebiseareca immmmmmsisimmmmmsisimmmmmmms
luidumnezeușicinevaface imsimmmmmmsisimmsisimms
aceasteauniicaaceian-aupocaianiece immmmmmsimmsisimmmsimmsimmmmmmmsis
vormoșteniperirea imsimmmmmsimmmmms
căașazicedomnul isimsimmsimmmms
nostruisushristosdeînvaţă immmmsimmsimmmmmsisimmmms
sădaţiceiasteîmpărătescîmpăratului isimmsisimmmsimmmmmmmmsimmmmmmmmms
iarăceiastealuidumnezeului immsisimmmscimsimmmmmmsims
dumnezeuaşijdereasă immmmmmsimmmmmmmsis
nuaibăputeareboiarii isimmsimmmmmsimmmmms
ajudecaprepreotulde cimmmmsimsimmmmmsis
lisevatîmplavreogreşală isisisimmmmsimmsimmmmms
oarecareacădeareoritrupeascăorisufleteascăce immmmmmmsimmmmmsimsimmmmmmmsimsimmmmmmmmmsis
ţîrcovniciibiseareciilui immmmmmmmmsimmmmmmmmsims
să-1judeceiarăde immsimmmmsimmsis
niscarilocuredearăturăsau immmmmsimmmmsisimmmmmsims
deviedeliseva isimsisisisis
tîmplalorcevaaceasteadelaboiari immmmsimsimmsimmmmmmsisisimmmms
săsejudece isisimmmms
însăcuîntrebareaarhiereului immsisimmmmmmmmsimmmmmmmmms
cănusecadeepiscupului isisisimmsimmmmmmmmms
să-şjudecepatriarhulsăusaumitropolitului immsimmmmsimmmmmmmmsimsimsimmmmmmmmmmmms
sausă-icearcealluicevaașijderea imsimmsimmmmsisimsimmsimmmmmmms
şipreotulepiscopul isimmmmmsimmmmmmms
luinicediaconulceva imsimmsimmmmmmsimms
săgrăiascăsausăjudece isimmmmmmsimsisimmmms
prepopaalluicanu imsimmsisimsisis
cumvasănusegrijascăpreoţiadumnezeiască immmsisisisimmmmmmsimmmmmsimmmmmmmmmms
episcupulsănu immmmmmmsisis
pofteascădardela immmmmmmsimsisis
herotonosieluicesăispitească immmmmmmmmsimsisisimmmmmmmms
preacelacevavreasă imsimmmsisisimmsis
sepreoţeascădenăravulluişisă-l isimmmmmmmmsisimmmmmsimsisimms
ispiteascăpredinsul immmmmmmmsimsimmmms
dentinereaţeleluişi imsimmmmmmmmmsimsis
demintealuişimai isimmmmsimsisims
alesdegrijacărţiişiaşa immsisimmmsimmmmsisims
să-laflepredinsulîntrutoatedeplin immsimmsimsimmmmsimmmsimmmsimmmms
şinevinovatşi isimmmmmmmsis
aşasă-lpreoţeascăşi imsimmsimmmmmmmmsis
să-lpriimeascăcatrupullui immsimmmmmmmmsisimmmmsims
episcopuldevapomenisăia immmmmmmsisisimmmmsisis
dardelacelacevavrea imsisisimmsisisimms
săsepreoţească isisimmmmmmmms
orideceva imsisisis
finedestoinicsaupentrudarul isimmmmmmmmmsimsimmmmsimmms
valegaprepreotulfărăde isimmsimsimmmmmsimmsis
vinăuniicaaceiasănuse immsimmsisimmmsisisis
ascultetece immmmmsisis
săseîntoarcădurearea isisimmmmmmsimmmmmms
luisprecapulluişi imsimmsimmmsimsis
sprecreaștetulluinedireptatealuisă immsimmmmmmmmsimsimmmmmmmmmmsimsis
sepogoarăşisefiecaşi isimmmmmsisisimsisis
simonvrăjitoriulîntru immmsimmmmmmmmmsimmms
osîndire5şicine immmmmmscisimms
