pravila|acesta|iaste pravilaacestaiaste immmmmsimmmmsimmms
el|fără|tocmală|şi|beţiv|și elfărătocmalăşibeţivși isimmsimmmmmsisimmmsis
învăţînd|pre|alţii|să|nu|se|îmbeate învăţîndprealţiisănuseîmbeate immmmmmsimsimmmsisisisimmmmms
sau|alt|vreun saualtvreun imsimsimmms
lucru|bun|a|petreace lucrubunapetreace immmsimscimmmmmms
carele|singur|nu|au|făcut carelesingurnuaufăcut immmmsimmmmsisisimmms
ochii|de|urechi|grăiaște|scriptura|cu ochiideurechigrăiaștescripturacu immmsisimmmmsimmmmmmsimmmmmmmsis
aceia|socoteaște-te|o|duhovnice|pentru|ce|că aceiasocoteaște-teoduhovnicepentrucecă immmsimmmmmmmmmmmscimmmmmmmsimmmmsisis
de|va|peri devaperi isisimms
numai|o|oaie|pentru numaiooaiepentru immmscimmsimmmms
negrija|ta|dentru|mînile|tale negrijatadentrumîniletale immmmmsisimmmmsimmmmsimms
se|va|căuta|de|prinde|ce sevacăutadeprindece isisimmmsisimmmmsis
zice|sfînt|ioan|zlatoust|la|deanie|în zicesfîntioanzlatoustladeanieîn immsimmmsimmsimmmmmmsisimmmmsis
a|treia|nravo atreianravo cimmmsimmms
se|va|delunga|numai|unul sevadelunganumaiunul isisimmmmmsimmmsimms
de|taine|necuminecat|au|nu|au detainenecuminecataunuau isimmmsimmmmmmmmmsisisis
că|sufletul|iaste căsufletuliaste isimmmmmmsimmms
de|o|perire|atîta deoperireatîta iscimmmmsimmms
socotință|și|cu|iubire|de|trudă|slujirea socotințășicuiubiredetrudăslujirea immmmmmmsisisimmmmsisimmmsimmmmmms
și|lucrul|lui șilucrullui isimmmmsims
dumnezeu|iaste|a|face dumnezeuiasteaface immmmmmsimmmscimms
că|grăiaște|scriptura|procleat|cela căgrăiaștescripturaprocleatcela isimmmmmmsimmmmmmmsimmmmmmsimms
ce|face|lucrul|domnului|cu|negrijă cefacelucruldomnuluicunegrijă isimmsimmmmsimmmmmmsisimmmmms
iară|marele|vasilie|grăiaște|socoteaște|să|nu iarămarelevasiliegrăiaștesocoteaștesănu immsimmmmsimmmmmsimmmmmmsimmmmmmmmsisis
te|temi|de tetemide isimmsis
om|întru|cădearea|lui omîntrucădearealui isimmmsimmmmmmsims
ca|să|nu|dai|pre casănudaipre isisisimsims
nedostoinici|ca|să|nu|te|ruşinezi|de nedostoinicicasănuteruşinezide immmmmmmmmmsisisisisimmmmmmsis
cineva|de|marii cinevademarii immmmsisimmms
pămîntului|nice|de|însuş pămîntuluinicedeînsuş immmmmmmmsimmsisimmms
nu|cumineci|că|pravilele|dumnezeești|nu nucuminecicăpravileledumnezeeștinu isimmmmmmsisimmmmmmmsimmmmmmmmmsis
lasă|pre|cei|nedostoinici|să|se|cuminece lasăpreceinedostoinicisăsecuminece immsimsimsimmmmmmmmmmsisisimmmmmms
carii|se|socotesc cariisesocotesc immmsisimmmmmms
ca|păgînii|iară|să capăgîniiiarăsă isimmmmmsimmsis
nu|se|vor|întoarce|amar nusevorîntoarceamar isisimsimmmmmmsimms
acelora|şi|celora|ce|cumineca|pre aceloraşiceloracecuminecapre immmmmsisimmmmsisimmmmmmsims
ei|socotește|zice|eu|treabă|n-am|tu eisocoteșteziceeutreabăn-amtu isimmmmmmmsimmsisimmmmsimmsis
veri|vedea|aceastea verivedeaaceastea immsimmmsimmmmmms
de|veri|păzi|însă deveripăziînsă isimmsimmsimms
cu|socotinţă|și|cu|tocmală cusocotinţășicutocmală isimmmmmmmsisisimmmmms
ce|mai|nainte|învăţăturile|bisearecii|neclătite cemainainteînvăţăturilebiseareciineclătite isimsimmmmsimmmmmmmmmmsimmmmmmmmsimmmmmmms
să|le|păzești|mîntui-veri|și|pre|tine sălepăzeștimîntui-verișipretine isisimmmmmsimmmmmmmmmsisimsimms
îndrăzni|a|priimi|cugetele|și|ispovedaniile îndrăzniapriimicugeteleșiispovedaniile immmmmmscimmmmsimmmmmmsisimmmmmmmmmmms
fără|învăţătura|episcopului|acelui|loc|acela|pedeapsa fărăînvăţăturaepiscopuluiaceluilocacelapedeapsa immsimmmmmmmmsimmmmmmmmmsimmmmsimsimmmsimmmmmms
pravilelor|va|priimi pravilelorvapriimi immmmmmmmsisimmmms
dumnezeeștilor|pravile|că|nu|numai dumnezeeștilorpravilecănunumai immmmmmmmmmmmsimmmmmsisisimmms
pre|sine|se-au|pierdut|ce|și presinese-aupierdutceși imsimmsimmmsimmmmmsisis
cîți|se-au|ispovedit|la|el|neispovediți|sînt cîțise-auispoveditlaelneispovedițisînt immsimmmsimmmmmmmsisisimmmmmmmmmmsimms
și|cît|au șicîtau isimsis
legat|și|dezlegat|neîndereptați legatșidezlegatneîndereptați immmsisimmmmmmsimmmmmmmmmmms
sînt|după|a|6|pravilă sîntdupăa6pravilă immsimmsccimmmmms
a|săborului|de|carthaghin|și|după asăboruluidecarthaghinșidupă cimmmmmmmsisimmmmmmmmsisimms
43|aceluiaș|săbor|pravila|svetii|apostol|și 43aceluiașsăborpravilasvetiiapostolși isimmmmmmsimmmsimmmmmsimmmmsimmmmmsis
a|sfinților|de asfințilorde cimmmmmmmsis
al|șaptele|săbor|preaogodnicii alșaptelesăborpreaogodnicii isimmmmmsimmmsimmmmmmmmmmms
și|de|dumnezeu|purtătorii|părinţii șidedumnezeupurtătoriipărinţii isisimmmmmmsimmmmmmmmsimmmmmms
noştri|de|episcopi|şi|de|preoți noştrideepiscopişidepreoți immmmsisimmmmmmsisisimmmms
și|de|călugări|şi|de|oameni|mireani șidecălugărişideoamenimireani isisimmmmmmsisisimmmmsimmmmms
şi|de|toate şidetoate isisimmms
pre|robii|lui|hristos|de|lucrul prerobiiluihristosdelucrul imsimmmsimsimmmmmsisimmmms
omenesc|ce|iaste|a|lucra|în|şase omenescceiastealucraînşase immmmmsisimmmscimmmsisimms
pînă|amiază|zi|sau|pînă|în pînăamiazăzisaupînăîn immsimmmmsisimsimmsis
toată|zioa|să toatăzioasă immmsimmsis
se|îndeletnicească|de|toate seîndeletniceascădetoate isimmmmmmmmmmmmmsisimmms
lucrurile|ceale|greale|şi|să-ș lucrurilecealegrealeşisă-ș immmmmmmsimmmsimmmmsisimms
tocmescă|casă|şi|se|facă|pamete tocmescăcasăşisefacăpamete immmmmmsimmsisisimmsimmmms
morţilor|lor|şi|se|priimească|strainicii|şi morţilorlorşisepriimeascăstrainiciişi immmmmmsimsisisimmmmmmmmsimmmmmmmmsis
să|se|umple|liubovul săseumpleliubovul isisimmmsimmmmmms
cheamă|iară|dumineca|iaste|întîiu|zi|a cheamăiarăduminecaiasteîntîiuzia immmmsimmsimmmmmmsimmmsimmmmsisc
lu|dumnezeu|dar ludumnezeudar isimmmmmmsims
învățăm|vațăm|de|această|zi învățămvațămdeaceastăzi immmmmsimmmsisimmmmmsis
să|se|ferească|şi|să|se săsefereascăşisăse isisimmmmmmsisisis
cinstească|iară|sîmbătă|di|în|al|optul cinsteascăiarăsîmbătădiînaloptul immmmmmmmsimmsimmmmmsisisisimmms
ceas|să|se ceassăse immsisis
oprească|de|toate|lucrurile opreascădetoatelucrurile immmmmmsisimmmsimmmmmmms
de|marile|și|de|micile demarileșidemicile isimmmmsisisimmmms
și|la|bisearecă|să|scape|toţi șilabisearecăsăscapetoţi isisimmmmmmmsisimmmsimms
oamenii|cu|muierile-ş|şi|cu|feciorii|lor oameniicumuierile-şşicufecioriilor immmmmsisimmmmmmmmsisisimmmmmmsims
și|într-însă|cu șiîntr-însăcu isimmmmmmmsis
frica|lu|dumnezeu|şi fricaludumnezeuşi immmsisimmmmmmsis
rugîndu-se|tocma|şi|pînă|duminecă|dimineaţa rugîndu-setocmaşipînăduminecădimineaţa immmmmmmmsimmmsisimmsimmmmmmsimmmmmmms
iară|deaca|se|va|lăsa|sfînta|letorghie iarădeacasevalăsasfîntaletorghie immsimmmsisisimmsimmmmsimmmmmmms
de-ciia|să|margă de-ciiasămargă immmmmsisimmms
odihnească|pînă|luni|dimineaţa|și odihneascăpînălunidimineaţași immmmmmmmsimmsimmsimmmmmmmsis
iară|den|al|doile|ceas|de iarădenaldoileceasde immsimsisimmmsimmsis
zi|se|înceapă|a|lucra|ot|rojdstvea ziseînceapăalucraotrojdstvea isisimmmmmscimmmsisimmmmmmms
hvea|de|prazdnicul hveadeprazdnicul immsisimmmmmmmms
născutului|aşijderea|să|se născutuluiaşijdereasăse immmmmmmmsimmmmmmmsisis
ţie|şi|să|se|cinstească ţieşisăsecinstească imsisisisimmmmmmmms
ca|şi|dumineca|că|de|aceasta caşiduminecacădeaceasta isisimmmmmmsisisimmmmms
blagoiavlenie|de|prazdnicul blagoiavleniedeprazdnicul immmmmmmmmmmsisimmmmmmmms
sfintei|arătării|lu|dumnezeu sfinteiarătăriiludumnezeu immmmmsimmmmmmsisimmmmmms
cade-se|tot|omul|să-1|socotească cade-setotomulsă-1socotească immmmmsimsimmsimmsimmmmmmmms
și|așijdirea|să-l|cinstească|că|întru șiașijdireasă-lcinsteascăcăîntru isimmmmmmmsimmsimmmmmmmmsisimmms
aceasta|ziditoriul|a|toată|lumea|dărui|înnoire aceastaziditoriulatoatălumeadăruiînnoire immmmmsimmmmmmmmscimmmsimmmsimmmsimmmmms
cu|apă|și cuapăși isimsis
cu|duhul|sfînt|ot cuduhulsfîntot isimmmsimmmsis
blagoveaștenie|de|prăzdnuirea|blagoveașteniilor|cinste blagoveașteniedeprăzdnuireablagoveașteniilorcinste immmmmmmmmmmmsisimmmmmmmmmsimmmmmmmmmmmmmmmsimmmms
să|se|facă|că|iaste|mai săsefacăcăiastemai isisimmsisimmmsims
cinstit|de|toate|prazdnicele|de|sîmbăta|direptului cinstitdetoateprazdniceledesîmbătadireptului immmmmsisimmmsimmmmmmmmmsisimmmmmsimmmmmmmms
lazar|înceaperea|învierii lazarînceapereaînvierii immmsimmmmmmmmsimmmmmms
şi|purtarea|închipuirilor|şi şipurtareaînchipuirilorşi isimmmmmmsimmmmmmmmmmmsis
de|minunile|lu|hristos|ce-s deminunileluhristosce-s isimmmmmmsisimmmmmsimms
prazdnicele|cinstite|şi|aşa|de|paști prazdnicelecinstiteşiaşadepaști immmmmmmmmsimmmmmmsisimsisimmms
această|duminecă|luminată|nată|să|se|prăzdnuiască aceastăduminecăluminatănatăsăseprăzdnuiască immmmmsimmmmmmsimmmmmmsimmsisisimmmmmmmmmms
şi|să|se şisăse isisis
cinstească|cum|înseşi|sfintele cinsteascăcumînseşisfintele immmmmmmmsimsimmmmsimmmmmms
paști|și|iară|de|văznesenie paștișiiarădevăznesenie immmsisimmsisimmmmmmmms
iaste|venirea|a|sfîntului|duh|cînd|pogorî iastevenireaasfîntuluiduhcîndpogorî immmsimmmmmscimmmmmmmsimsimmsimmmms
pre|lume|de prelumede imsimmsis
luminare|şi|de|înţeleagere luminareşideînţeleagere immmmmmsisisimmmmmmmmms
tuturor|şi|aşa|toate|sfintele tuturorşiaşatoatesfintele immmmmsisimsimmmsimmmmmms
prazdnicele|lu|hristos|să|se|cinstească prazdniceleluhristossăsecinstească immmmmmmmmsisimmmmmsisisimmmmmmmms
şi|să|se|ferească|cum|am|zis şisăsefereascăcumamzis isisisimmmmmmsimsisims
şi|la|văzdvijenia|cinstitei şilavăzdvijeniacinstitei isisimmmmmmmmmsimmmmmmms
cruci|prazdnice|ale|despuitoriului|aceaste cruciprazdnicealedespuitoriuluiaceaste immmsimmmmmmmsimsimmmmmmmmmmmmsimmmmms
prazdnice|ale|lui|hristos|toate|aşa prazdnicealeluihristostoateaşa immmmmmmsimsimsimmmmmsimmmsims
să|se|ferească|şi|să|se|cinstească săsefereascăşisăsecinstească isisimmmmmmsisisisimmmmmmmms
cum|am|zis cumamzis imsisims
de|sfînta|duminecă|întîia desfîntaduminecăîntîia isimmmmsimmmmmmsimmmms
zi|de|dumnezeire|prazdnicul|uspenie zidedumnezeireprazdniculuspenie isisimmmmmmmmsimmmmmmmmsimmmmms
bți|cade-se|a-l|cinsti|şi|a-l bțicade-sea-lcinstişia-l imsimmmmmsimsimmmmsisims
mări|aşijderea|ca|şi|prazdnicile|lu|hristos măriaşijdereacaşiprazdnicileluhristos immsimmmmmmmsisisimmmmmmmmmsisimmmmms
cum|ș-am|dat cumș-amdat imsimmsims
învăţătură|ţătură|aşa|şi învăţăturăţăturăaşaşi immmmmmmmsimmmmsimsis
aceaste|prazdnice|ale|blagorodiţei|întîiu aceasteprazdnicealeblagorodiţeiîntîiu immmmmsimmmmmmmsimsimmmmmmmmmmsimmmms
blagoveaşteniile|şi|rojdestvo|een|şi|văvedeniia blagoveaşteniileşirojdestvoeenşivăvedeniia immmmmmmmmmmmmmsisimmmmmmmsimsisimmmmmmmms
şi|uspenie|şi|sfinţii|părinţilor|ei|să şiuspenieşisfinţiipărinţiloreisă isimmmmmsisimmmmmsimmmmmmmmsisis
2|de|prazdnicul|sfinților 2deprazdniculsfinților cisimmmmmmmmsimmmmmmms
prazdnice|aşijderea|să|prăzdnuiască|şi|să prazdniceaşijdereasăprăzdnuiascăşisă immmmmmmsimmmmmmmsisimmmmmmmmmmsisis
se|cinstească|cum|am|zis|de|cealealalte secinsteascăcumamzisdecealealalte isimmmmmmmmsimsisimsisimmmmmmmmms
cei|12|apostoli|şi cei12apostolişi imsisimmmmmmsis
de|alte|prazdnice|ale|apostolilor dealteprazdnicealeapostolilor isimmsimmmmmmmsimsimmmmmmmmms
se|prăzdnuiască|însă|şi|acea|zi|de seprăzdnuiascăînsăşiaceazide isimmmmmmmmmmsimmsisimmsisis
şi|de|cinstitul|prorocul şidecinstitulprorocul isisimmmmmmmsimmmmmms
predtece|şi|botezătoriul|ioann|de predteceşibotezătoriulioannde immmmmmsisimmmmmmmmmmsimmmsis
născutul|lui|și|de|tăiarea|capului născutulluișidetăiareacapului immmmmmsimsisisimmmmmsimmmmms
lui|cade-se|a|le|prăzdnui|de|la luicade-sealeprăzdnuidela imsimmmmmscisimmmmmmsisis
al|noaolea|ceas alnoaoleaceas isimmmmmsimms
întîiul|mucenic|stefan|mai|marele întîiulmucenicstefanmaimarele immmmmsimmmmmsimmmmsimsimmmms
dimîneaţa|pînă|sara|aşa|să|umplem|şi dimîneaţapînăsaraaşasăumplemşi immmmmmmsimmsimmsimsisimmmmsis
pomenirea|şi|cinstirea pomenireaşicinstirea immmmmmmsisimmmmmmms
ogodnicilor|şi|învăţătorilor|a|toată ogodnicilorşiînvăţătoriloratoată immmmmmmmmsisimmmmmmmmmmmscimmms
lumea|părinţilor|şi|arhiereii|şi|păstorii lumeapărinţilorşiarhiereiişipăstorii immmsimmmmmmmmsisimmmmmmmsisimmmmmms
de|oile|ceale|grăitoare|să-i|prăzdnuim|pre deoilecealegrăitoaresă-iprăzdnuimpre isimmsimmmsimmmmmmmsimmsimmmmmmmsims
fi|zioa|de|dimîneaţă fizioadedimîneaţă isimmsisimmmmmmms
a|prăzdnui|şi|a|cinsti|3|sfîntul aprăzdnuişiacinsti3sfîntul cimmmmmmsiscimmmmscimmmmms
şi|marele|mucenic şimarelemucenic isimmmmsimmmmms
a|lui|hristos|gheorghie aluihristosgheorghie cimsimmmmmsimmmmmmms
şi|dimitrie|theodor|pandeleimonu|procopie şidimitrietheodorpandeleimonuprocopie isimmmmmmsimmmmmsimmmmmmmmmmsimmmmmms
şi|sfiinţii|besrebrăniţi|şi|sfintele|marele şisfiinţiibesrebrăniţişisfintelemarele isimmmmmmsimmmmmmmmmmsisimmmmmmsimmmms
se|vor|chema sevorchema isimsimmms
aceastea|toate|să|se aceasteatoatesăse immmmmmsimmmsisis
prăzdnuiască|căriia|cîndu-i|va|fi prăzdnuiascăcăriiacîndu-ivafi immmmmmmmmmsimmmmsimmmmmsisis
zioa|de|dimîneaţa|pînă|sara|deci zioadedimîneaţapînăsaradeci immsisimmmmmmmsimmsimmsimms
toate|zilele|acestor|praznice|să|se|prăzdnuiască toatezileleacestorpraznicesăseprăzdnuiască immmsimmmmsimmmmmsimmmmmmsisisimmmmmmmmmms
cum|am|învăţat cumamînvăţat imsisimmmmms
tot|creştinul|şi|am totcreştinulşiam imsimmmmmmmsisis
pus|leage|şi|iară|grăim pusleageşiiarăgrăim imsimmmsisimmsimmms
că|nu|zicem|să|se|prăzdnuiască cănuzicemsăseprăzdnuiască isisimmmsisisimmmmmmmmmms
cu|tîmpene|şi|cu|fluiere|şi|întru cutîmpeneşicufluiereşiîntru isimmmmmsisisimmmmmsisimmms
cîntece|mirenești|şi cîntecemireneștişi immmmmsimmmmmmmsis
în|beţii|ce|să înbeţiicesă isimmmsisis
se|prăzdnuiască|întru|rugăciuni|şi seprăzdnuiascăîntrurugăciunişi isimmmmmmmmmmsimmmsimmmmmmmsis
întru|cîntări|sufletești|și|întru|cuvinte întrucîntărisufleteștișiîntrucuvinte immmsimmmmmsimmmmmmmmsisimmmsimmmmms
de|laudă|și|numai|cît|să|se delaudășinumaicîtsăse isimmmsisimmmsimsisis
cheame|preoții|la cheamepreoțiila immmmsimmmmmsis
casele|lor|să|facă caselelorsăfacă immmmsimsisimms
blagoslovenie|întru|casele|lor|tot blagoslovenieîntrucaselelortot immmmmmmmmmmsimmmsimmmmsimsims
creștinul|că|oareunde|nu|mearge|preotul creștinulcăoareundenumeargepreotul immmmmmmsisimmmmmmsisimmmmsimmmmms
nice|blagoslovenie|nu|se|face|de|acolea niceblagoslovenienusefacedeacolea immsimmmmmmmmmmmsisisimmsisimmmms
şi|dumnezeu|se şidumnezeuse isimmmmmmsis
acolo|e|mîhniciune|şi|slăbiciune|şi acoloemîhniciuneşislăbiciuneşi immmscimmmmmmmmsisimmmmmmmmsis
sînt|toate|spurcate|aceastea|vă|învăţăm|preoţilor sînttoatespurcateaceasteavăînvăţămpreoţilor immsimmmsimmmmmmsimmmmmmsisimmmmmsimmmmmmms
şi|țîrcovnicii|bisearicilor şițîrcovniciibisearicilor isimmmmmmmmmsimmmmmmmmmms
ca|înşivă|să|umblaţi caînşivăsăumblaţi isimmmmsisimmmmms
întru|învăţăturile|ce|vă|sînt întruînvăţăturilecevăsînt immmsimmmmmmmmmmsisisimms
date|voao|şi|după|aceaia|să datevoaoşidupăaceaiasă immsimmsisimmsimmmmsis
învăţaţi|toţi|oamenii|cu|de-adins|de|pururea învăţaţitoţioameniicude-adinsdepururea immmmmmsimmsimmmmmsisimmmmmmsisimmmmms
nu|pentru|vreo	plată nupentruvreo	plată isimmmmsimmmmmmmms
oarecarea|de|argint|sau oarecareadeargintsau immmmmmmsisimmmmsims
de|aur|ce|pentru|spăseniia deaurcepentruspăseniia isimsisimmmmsimmmmmmms
sufletelor|voastre|iară|voi|oameni|mari sufletelorvoastreiarăvoioamenimari immmmmmmmsimmmmmsimmsimsimmmmsimms
vă|cuceriţi|arhiereilor văcuceriţiarhiereilor isimmmmmmsimmmmmmmmms
cinstiţi|şi|să|vă|teameţi cinstiţişisăvăteameţi immmmmmsisisisimmmmms
fieşcare|den|voi|cine|cumu-i|va fieşcaredenvoicinecumu-iva immmmmmsimsimsimmsimmmmsis
fi|putearea|şi|de|ce|veţi|avea fiputeareaşideceveţiavea isimmmmmmsisisisimmsimms
să-i|și|ospătaţi să-ișiospătaţi immsisimmmmmms
că|aceia|priveaghe|pentru căaceiapriveaghepentru isimmmsimmmmmmmsimmmms
voi|şi|se|roagă|preoţilor voişiseroagăpreoţilor imsisisimmmsimmmmmmms
învăţămu-vă|să|nu|întraţi|în|bisearică învăţămu-văsănuîntraţiînbisearică immmmmmmmmsisisimmmmmsisimmmmmmms
cu|vrajbă|sau|cu|pizma|nice|să cuvrajbăsaucupizmanicesă isimmmmsimsisimmmsimmsis
vă|cutezaţi|a văcutezaţia isimmmmmmsc
nice|să|fiţi|beţivi|nice nicesăfiţibeţivinice immsisimmsimmmmsimms
nice|gîlcevitori|nice|cu|cuvinte|deșarte|nice nicegîlcevitorinicecucuvintedeșartenice immsimmmmmmmmmsimmsisimmmmmsimmmmmsimms
nebuni|că|şi nebunicăşi immmmsisis
domnul|nostru|isus|hristos domnulnostruisushristos immmmsimmmmsimmsimmmmms
fu|bătut|şi|ocărît|și fubătutşiocărîtși isimmmsisimmmmsis
răbdă|dirept|noi|ce|să|fiți răbdădireptnoicesăfiți immmsimmmmsimsisisimms
blînzi|şi|lini|şi|plecați|şi|răbdători blînzişilinişiplecațişirăbdători immmmsisimmsisimmmmmsisimmmmmmms
de|toate|şi detoateşi isimmmsis
să|umblaţi|cu|frica săumblaţicufrica isimmmmmsisimmms
lu|dumnezeu|și|să|vă ludumnezeușisăvă isimmmmmmsisisis
nevoiţi|de|slujba|voastră|cea|sfîntă nevoiţideslujbavoastrăceasfîntă immmmmsisimmmmsimmmmmsimsimmmms
că|vă|învăţăm|după|tocmeala|sfinţilor|apostoli căvăînvăţămdupătocmealasfinţilorapostoli isisimmmmmsimmsimmmmmmsimmmmmmmsimmmmmms
și|numai|bărbat șinumaibărbat isimmmsimmmms
unii|muieri|ca|nu uniimuiericanu immsimmmmsisis
fa|nu|fără|de|leage fanufărădeleage isisimmsisimmms
să|întraţi|la|sfîntul|jărtăvnic|şi săîntraţilasfîntuljărtăvnicşi isimmmmmsisimmmmmsimmmmmmmsis
